left_im,right_im,leftori,rightori,corrAns,angle
F.png,F.png,0,0,n,0
F.png,FR.png,0,0,m,0
F.png,F.png,0,45,n,45
F.png,FR.png,0,45,m,45
F.png,F.png,0,90,n,90
F.png,FR.png,0,90,m,90
F.png,F.png,0,135,n,135
F.png,FR.png,0,135,m,135
F.png,F.png,0,180,n,180
F.png,FR.png,0,180,m,180
F.png,F.png,0,225,n,225
F.png,FR.png,0,225,m,225
F.png,F.png,0,270,n,270
F.png,FR.png,0,270,m,270
F.png,F.png,0,315,n,315
F.png,FR.png,0,315,m,315
FR.png,FR.png,0,0,n,0
FR.png,F.png,0,0,m,0
FR.png,FR.png,0,45,n,45
FR.png,F.png,0,45,m,45
FR.png,FR.png,0,90,n,90
FR.png,F.png,0,90,m,90
FR.png,FR.png,0,135,n,135
FR.png,F.png,0,135,m,135
FR.png,FR.png,0,180,n,180
FR.png,F.png,0,180,m,180
FR.png,FR.png,0,225,n,225
FR.png,F.png,0,225,m,225
FR.png,FR.png,0,270,n,270
FR.png,F.png,0,270,m,270
FR.png,FR.png,0,315,n,315
FR.png,F.png,0,315,m,315
