Intructions_1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,session,participant,date,expName,psychopyVersion,OS,frameRate,Intructions_2.started,Intructions_2.stopped,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_im,right_im,leftori,rightori,corrAns,angle,the_end.started,the_end.stopped
0.0007,1.4834,m,1.4598,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,1.4836,2.6323,,,,,,,,,,,,,,,,,,,,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,2.6389,3.5647,n,1,0.8345,,3.5649,4.0639,0,0,0,0,1,F.png,F.png,0,0,n,0,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,4.0645,5.3624,n,1,1.1951,,5.3624,5.8618,0,1,1,30,1,FR.png,FR.png,0,315,n,315,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,5.8623,6.5948,m,1,0.6771,,6.5949,7.0941,0,2,2,19,1,FR.png,F.png,0,45,m,45,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,7.0948,7.8433,m,0,0.6968,,7.8434,8.3428,0,3,3,28,1,FR.png,FR.png,0,270,n,270,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,8.3433,9.292,m,1,0.9027,,9.292,9.7916,0,4,4,5,1,F.png,FR.png,0,90,m,90,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,9.792,10.6573,n,1,0.8158,,10.6575,11.1568,0,5,5,14,1,F.png,F.png,0,315,n,315,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,11.1574,12.4058,m,1,1.199,,12.4059,12.9051,0,6,6,11,1,F.png,FR.png,0,225,m,225,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,12.9056,13.7377,n,1,0.7824,,13.7377,14.2372,0,7,7,18,1,FR.png,FR.png,0,45,n,45,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,14.2376,18.6993,m,0,4.4437,,18.6994,19.199,0,8,8,24,1,FR.png,FR.png,0,180,n,180,,
,,,,,001,,2025-02-15_14h20.28.880,MentalRotation,2024.1.5,Win32,59.88023952,,,19.1995,20.4476,n,0,1.1997,,20.4477,20.9473,0,9,9,29,1,FR.png,F.png,0,270,m,270,,
