Intructions_1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,session,participant,date,expName,psychopyVersion,OS,frameRate,Intructions_2.started,Intructions_2.stopped,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,left_im,right_im,leftori,rightori,corrAns,angle
0.0003,1.94,m,1.918,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,,,,,,,,,,,,,,,,,,,
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,1.9425,11.9004,,,,,,,,,,,,,,,,,,,
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,11.9104,12.9472,m,0,0.9558,,12.9481,13.447,0,0,0,16,1,FR.png,FR.png,0,0,n,0
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,13.4514,13.5201,m,0,0.0012,,13.5204,14.0126,0,1,1,2,1,F.png,F.png,0,45,n,45
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,14.017,14.1298,m,1,0.0674,,14.1331,14.6285,0,2,2,15,1,F.png,FR.png,0,315,m,315
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,14.6326,14.7454,m,0,0.0605,,14.7474,15.2448,0,3,3,26,1,FR.png,FR.png,0,225,n,225
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,15.2495,15.5474,m,0,0.2319,,15.5476,16.0438,0,4,4,6,1,F.png,F.png,0,135,n,135
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,16.0476,16.2444,m,1,0.1447,,16.2462,16.749,0,5,5,21,1,FR.png,F.png,0,90,m,90
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,16.752,17.1426,m,1,0.3683,,17.1429,17.6431,0,6,6,23,1,FR.png,F.png,0,135,m,135
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,17.6473,17.9465,m,0,0.2524,,17.9479,18.4416,0,7,7,22,1,FR.png,FR.png,0,135,n,135
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,18.4464,18.6914,m,1,0.207,,18.6928,19.1912,0,8,8,5,1,F.png,FR.png,0,90,m,90
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,19.196,19.4084,m,1,0.1855,,19.4088,19.9127,0,9,9,13,1,F.png,FR.png,0,270,m,270
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,19.9154,20.1405,m,0,0.1796,,20.1425,20.6297,0,10,10,24,1,FR.png,FR.png,0,180,n,180
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,20.6324,20.8402,m,0,0.1403,,20.8405,21.344,0,11,11,14,1,F.png,F.png,0,315,n,315
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,21.3461,21.5391,m,1,0.1502,,21.5406,22.0388,0,12,12,3,1,F.png,FR.png,0,45,m,45
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,22.0425,22.255,m,0,0.1741,,22.2558,22.7549,0,13,13,12,1,F.png,F.png,0,270,n,270
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,22.7578,22.9045,m,1,0.1024,,22.9058,23.4043,0,14,14,11,1,F.png,FR.png,0,225,m,225
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,23.4075,23.5775,m,0,0.1098,,23.5784,24.0761,0,15,15,30,1,FR.png,FR.png,0,315,n,315
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,24.0787,24.2035,m,1,0.081,,24.2044,24.7031,0,16,16,17,1,FR.png,F.png,0,0,m,0
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,24.7058,24.8534,m,0,0.0886,,24.8552,25.3528,0,17,17,8,1,F.png,F.png,0,180,n,180
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,25.3564,25.5521,m,0,0.1301,,25.5523,26.0517,0,18,18,18,1,FR.png,FR.png,0,45,n,45
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,26.054,26.3556,m,1,0.2529,,26.3578,26.8516,0,19,19,29,1,FR.png,F.png,0,270,m,270
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,26.8553,27.1511,m,0,0.2539,,27.1522,27.6509,0,20,20,10,1,F.png,F.png,0,225,n,225
,,,,,001,,2025-02-15_14h37.23.425,MentalRotation,2024.2.4,Win32,60.60606061,,,27.6536,27.9675,m,1,0.2633,,27.9688,28.4681,0,21,21,1,1,F.png,FR.png,0,0,m,0
