left_im,right_im,leftori,rightori,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,trial.started,image_L.started,image_R.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,fbtext.stopped,feedback.stopped,the_end.started,end_txt.started,end_key.started,text.started,the_end.stopped,session,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.018529299879446626,0.03077160008251667,0.03077160008251667,1.1121320000384003,m,1.028082099976018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.2949866000562906,1.4405841000843793,1.4405841000843793,1.4405841000843793,1.4405841000843793,5.330583299975842,,,,,,,,,,,,,,,,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,F.png,0,225,m,225,0,0,0,m,1,1.8693858999758959,None,0,0,0,27,5.541893699904904,,,,,,,,,,,,,,,5.499640600057319,5.541893699904904,5.541893699904904,5.541893699904904,5.541893699904904,5.541893699904904,7.427382299909368,m,1,1.8693858999758959,None,7.431654599960893,7.440690899966285,8.107414199970663,7.9260179998818785,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,F.png,0,180,n,180,1,1,0,n,1,0.17739080009050667,None,0,1,1,8,8.107414199970663,,,,,,,,,,,,,,,8.094951000064611,8.107414199970663,8.107414199970663,8.107414199970663,8.107414199970663,8.107414199970663,8.294557699933648,n,1,0.17739080009050667,None,8.294872300000861,8.30728970002383,,8.807978699915111,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,FR.png,0,45,n,45,2,2,0,n,1,None,None,0,2,2,18,9.014206700026989,,,,,,,,,,,,,,,8.970518999965861,9.014206700026989,9.014206700026989,9.014206700026989,9.014206700026989,9.014206700026989,9.12782120006159,n,1,None,None,9.12814599997364,9.139356599887833,9.79752040002495,9.624344900017604,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,F.png,0,135,n,135,3,3,0,m,0,0.007985200034454465,None,0,3,3,6,9.79752040002495,,,,,,,,,,,,,,,9.76170750008896,9.79752040002495,9.79752040002495,9.79752040002495,9.79752040002495,9.79752040002495,9.808199299965054,m,0,0.007985200034454465,None,9.812552399933338,9.821751900017262,10.45519130001776,10.307040499988943,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,FR.png,0,315,n,315,4,4,0,m,0,0.09150219988077879,None,0,4,4,30,10.45519130001776,,,,,,,,,,,,,,,10.439022599952295,10.45519130001776,10.45519130001776,10.45519130001776,10.45519130001776,10.45519130001776,10.558069499908015,m,0,0.09150219988077879,None,10.558326500002295,10.570668200030923,11.187551100039855,11.056226100074127,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
FR.png,FR.png,0,135,n,135,5,5,0,m,0,0.02399919996969402,None,0,5,5,22,11.187551100039855,,,,,,,,,,,,,,,11.172749700024724,11.187551100039855,11.187551100039855,11.187551100039855,11.187551100039855,11.187551100039855,11.223462800029665,m,0,0.02399919996969402,None,11.223712499951944,11.237129299901426,11.870723400032148,11.722204099874943,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,FR.png,0,135,m,135,6,6,0,m,1,0.022390299942344427,None,0,6,6,7,11.870723400032148,,,,,,,,,,,,,,,11.84767369995825,11.870723400032148,11.870723400032148,11.870723400032148,11.870723400032148,11.870723400032148,11.906673300080001,m,1,0.022390299942344427,None,11.908634299878031,11.919369200011715,12.55293249990791,12.405064600054175,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,F.png,0,315,n,315,7,7,0,m,0,0.03994550020433962,None,0,7,7,14,12.55293249990791,,,,,,,,,,,,,,,12.530007699970156,12.55293249990791,12.55293249990791,12.55293249990791,12.55293249990791,12.55293249990791,12.60596750001423,m,0,0.03994550020433962,None,12.607798399869353,12.61858020001091,13.25229229987599,13.104365899926051,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
F.png,FR.png,0,315,m,315,8,8,0,m,1,0.0643796999938786,None,0,8,8,15,13.25229229987599,,,,,,,,,,,,,,,13.233810500008985,13.25229229987599,13.25229229987599,13.25229229987599,13.25229229987599,13.25229229987599,13.322322899941355,m,1,0.0643796999938786,None,13.324018500046805,13.33504749997519,13.951706700026989,13.820701000047848,,,,,,001,,2025-02-15_14h38.57.604,MentalRotation,2024.2.4,60.00448831401875,2025-02-15 14h39.05.983106 +0000,
