left_im,right_im,leftori,rightori,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,trial.started,image_L.started,image_R.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,feedback.stopped,fbtext.stopped,the_end.started,end_txt.started,end_key.started,text.started,session,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.022252799943089485,0.03386810002848506,0.03386810002848506,0.27512119989842176,m,0.23424270004034042,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.4236701000481844,0.5081716999411583,0.5081716999411583,0.5081716999411583,0.5081716999411583,0.5138796998653561,,,,,,,,,,,,,,,,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,F.png,0,180,n,180,0,0,0,m,0,0.09913900005631149,None,0,0,0,8,0.764477799879387,,,,,,,,,,,,,,,0.7264461000449955,0.764477799879387,0.764477799879387,0.764477799879387,0.764477799879387,0.764477799879387,0.8699121999088675,m,0,0.09913900005631149,None,0.873252599965781,0.8835664999205619,1.3844426998402923,,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,FR.png,0,270,m,270,1,1,0,m,1,0.11130550014786422,None,0,1,1,13,1.5830333000048995,,,,,,,,,,,,,,,1.5694629000499845,1.5830333000048995,1.5830333000048995,1.5830333000048995,1.5830333000048995,1.5830333000048995,1.7024044999852777,m,1,0.11130550014786422,None,1.7061701999045908,1.7153876000083983,2.201153399888426,2.3911027999129146,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,F.png,0,270,m,270,2,2,0,m,1,0.07014680001884699,None,0,2,2,29,2.3911027999129146,,,,,,,,,,,,,,,2.3485925998538733,2.3911027999129146,2.3911027999129146,2.3911027999129146,2.3911027999129146,2.3911027999129146,2.469843399943784,m,1,0.07014680001884699,None,2.470215499866754,2.481774899875745,2.9669407999608666,3.113285099854693,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,FR.png,0,225,n,225,3,3,0,n,1,0.13633490004576743,None,0,3,3,26,3.113285099854693,,,,,,,,,,,,,,,3.082773400004953,3.113285099854693,3.113285099854693,3.113285099854693,3.113285099854693,3.113285099854693,3.251208300003782,n,1,0.13633490004576743,None,3.251471000025049,3.2638646999839693,3.7496296998579055,3.930677499854937,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,F.png,0,0,n,0,4,4,0,n,1,0.090059399837628,None,0,4,4,0,3.930677499854937,,,,,,,,,,,,,,,3.9036421000491828,3.930677499854937,3.930677499854937,3.930677499854937,3.930677499854937,3.930677499854937,4.033331000013277,n,1,0.090059399837628,None,4.033593199914321,4.046654799953103,4.531952999997884,4.6631970999296755,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,F.png,0,135,n,135,5,5,0,n,1,0.08776159980334342,None,0,5,5,6,4.6631970999296755,,,,,,,,,,,,,,,4.648274400038645,4.6631970999296755,4.6631970999296755,4.6631970999296755,4.6631970999296755,4.6631970999296755,4.766130999894813,n,1,0.08776159980334342,None,4.766387899871916,4.779068399919197,5.26489600003697,5.412961999885738,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
FR.png,F.png,0,315,m,315,6,6,0,n,0,0.06856040004640818,None,0,6,6,31,5.412961999885738,,,,,,,,,,,,,,,5.3884383998811245,5.412961999885738,5.412961999885738,5.412961999885738,5.412961999885738,5.412961999885738,5.498842099914327,n,0,0.06856040004640818,None,5.500828899908811,5.511711400002241,5.997053100029007,6.145294399932027,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
F.png,FR.png,0,315,m,315,7,7,0,n,0,0.06668060016818345,None,0,7,7,15,6.145294399932027,,,,,,,,,,,,,,,6.119339999975637,6.145294399932027,6.145294399932027,6.145294399932027,6.145294399932027,6.145294399932027,6.214907099958509,n,0,0.06668060016818345,None,6.21518939989619,6.2278078000526875,6.713112799916416,6.8444955998566,,,,,001,,2025-02-15_14h40.33.009,MentalRotation,2024.2.4,60.03467606929142,2025-02-15 14h40.39.841789 +0000,
