left_im,right_im,leftori,rightori,corrAns,angle,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intructions_1.started,instr_key_1.started,instr_textbox1.started,Intructions_1.stopped,instr_key_1.keys,instr_key_1.rt,instr_key_1.duration,Intructions_2.started,image_L_3.started,image_R_3.started,instr_key_2.started,instrtxt2.started,Intructions_2.stopped,trial.started,image_L.started,image_R.started,key_resp.started,main_instr.started,trial_count.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,feedback.started,fbtext.started,feedback.stopped,fbtext.stopped,the_end.started,end_txt.started,end_key.started,text.started,the_end.stopped,session,participant,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0156916999258101,0.038578700041398406,0.038578700041398406,0.5622698999941349,m,0.5183287998661399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.7566658998839557,0.8350994999054819,0.8350994999054819,0.8350994999054819,0.8350994999054819,0.9465200998820364,,,,,,,,,,,,,,,,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,F.png,0,180,m,180,0,0,0,m,1,0.031582900090143085,None,0,0,0,25,1.120411700103432,,,,,,,,,,,,,,,1.087420899886638,1.120411700103432,1.120411700103432,1.120411700103432,1.120411700103432,1.120411700103432,1.159151199972257,m,1,0.031582900090143085,None,1.1628429999109358,1.1721938999835402,1.6592761999927461,,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,F.png,0,270,m,270,1,1,0,m,1,0.12889169994741678,None,0,1,1,29,1.8392958000767976,,,,,,,,,,,,,,,1.8166042999364436,1.8392958000767976,1.8392958000767976,1.8392958000767976,1.8392958000767976,1.8392958000767976,1.9763032000046223,m,1,0.12889169994741678,None,1.976594900013879,1.988358800066635,2.4739900999702513,2.697803899878636,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,FR.png,0,90,m,90,2,2,0,m,1,0.0861781002022326,None,0,2,2,5,2.697803899878636,,,,,,,,,,,,,,,2.653684699907899,2.697803899878636,2.697803899878636,2.697803899878636,2.697803899878636,2.697803899878636,2.7907078999560326,m,1,0.0861781002022326,None,2.7909403000958264,2.8040032000280917,3.2908777000848204,3.5042979998979717,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,FR.png,0,0,n,0,3,3,0,m,0,0.08373229997232556,None,0,3,3,16,3.5042979998979717,,,,,,,,,,,,,,,3.470810899976641,3.5042979998979717,3.5042979998979717,3.5042979998979717,3.5042979998979717,3.5042979998979717,3.5918880999088287,m,0,0.08373229997232556,None,3.59746710001491,3.6188769000582397,4.106089900014922,,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,FR.png,0,270,m,270,4,4,0,m,1,0.11826010001823306,None,0,4,4,13,4.270237300079316,,,,,,,,,,,,,,,4.2592539000324905,4.270237300079316,4.270237300079316,4.270237300079316,4.270237300079316,4.270237300079316,4.3913634000346065,m,1,0.11826010001823306,None,4.394656100077555,4.403280599974096,4.905651699984446,,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,FR.png,0,135,m,135,5,5,0,m,1,0.07298059994354844,None,0,5,5,7,5.08615930005908,,,,,,,,,,,,,,,5.066998400026932,5.08615930005908,5.08615930005908,5.08615930005908,5.08615930005908,5.08615930005908,5.1737548999954015,m,1,0.07298059994354844,None,5.174112600041553,5.184488599887118,5.6712758000940084,5.851780300028622,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,F.png,0,45,m,45,6,6,0,m,1,0.0724686998873949,None,0,6,6,19,5.851780300028622,,,,,,,,,,,,,,,5.831213899888098,5.851780300028622,5.851780300028622,5.851780300028622,5.851780300028622,5.851780300028622,5.93848289991729,m,1,0.0724686998873949,None,5.939011899987236,5.9510786999017,6.439309400040656,,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,F.png,0,315,n,315,7,7,0,m,0,0.1177662000991404,None,0,7,7,14,6.735697400057688,,,,,,,,,,,,,,,6.7120495000854135,6.735697400057688,6.735697400057688,6.735697400057688,6.735697400057688,6.735697400057688,6.857684999937192,m,0,0.1177662000991404,None,6.861341699957848,6.8827046998776495,7.370140899904072,,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,FR.png,0,225,n,225,8,8,0,m,0,0.03253030008636415,None,0,8,8,26,7.567776700016111,,,,,,,,,,,,,,,7.551811899989843,7.567776700016111,7.567776700016111,7.567776700016111,7.567776700016111,7.567776700016111,7.603650900069624,m,0,0.03253030008636415,None,7.60395050002262,7.61714949994348,8.103475000010803,8.283268299885094,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,FR.png,0,225,m,225,9,9,0,m,1,0.019342399900779128,None,0,9,9,11,8.283268299885094,,,,,,,,,,,,,,,8.266981899971142,8.283268299885094,8.283268299885094,8.283268299885094,8.283268299885094,8.283268299885094,8.304958400083706,m,1,0.019342399900779128,None,8.307946200016886,8.316204600036144,8.801708600018173,8.991968899965286,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,F.png,0,225,m,225,10,10,0,m,1,0.06486939988099039,None,0,10,10,27,8.991968899965286,,,,,,,,,,,,,,,8.955764699960127,8.991968899965286,8.991968899965286,8.991968899965286,8.991968899965286,8.991968899965286,9.069952900055796,m,1,0.06486939988099039,None,9.070532300043851,9.082185100065544,9.569899699883536,9.833344500046223,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,FR.png,0,180,n,180,11,11,0,m,0,0.17818980012089014,None,0,11,11,24,9.833344500046223,,,,,,,,,,,,,,,9.796225999947637,9.833344500046223,9.833344500046223,9.833344500046223,9.833344500046223,9.833344500046223,10.018473600037396,m,0,0.17818980012089014,None,10.022460399894044,10.031001500086859,10.532772799953818,,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,F.png,0,135,n,135,12,12,0,m,0,0.08122240006923676,None,0,12,12,6,10.706521699903533,,,,,,,,,,,,,,,10.662685899995267,10.706521699903533,10.706521699903533,10.706521699903533,10.706521699903533,10.706521699903533,10.801125800004229,m,0,0.08122240006923676,None,10.801410099957138,10.81356819998473,11.299889799905941,11.472343599889427,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,FR.png,0,135,n,135,13,13,0,m,0,0.08042250014841557,None,0,13,13,22,11.472343599889427,,,,,,,,,,,,,,,11.429676200030372,11.472343599889427,11.472343599889427,11.472343599889427,11.472343599889427,11.472343599889427,11.566915000090376,m,0,0.08042250014841557,None,11.5672073001042,11.579352699918672,12.065341900102794,12.228062500013039,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,FR.png,0,45,m,45,14,14,0,m,1,0.10690789995715022,None,0,14,14,3,12.228062500013039,,,,,,,,,,,,,,,12.19375229999423,12.228062500013039,12.228062500013039,12.228062500013039,12.228062500013039,12.228062500013039,12.348663399927318,m,1,0.10690789995715022,None,12.351373299956322,12.361515699885786,12.847929900046438,13.023363000014797,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,F.png,0,90,m,90,15,15,0,m,1,0.13537420006468892,None,0,15,15,21,13.023363000014797,,,,,,,,,,,,,,,12.975206699920818,13.023363000014797,13.023363000014797,13.023363000014797,13.023363000014797,13.023363000014797,13.164299000054598,m,1,0.13537420006468892,None,13.164552500005811,13.177096799947321,13.663088999921456,13.816242499975488,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,F.png,0,315,m,315,16,16,0,m,1,0.18555119982920587,None,0,16,16,31,13.816242499975488,,,,,,,,,,,,,,,13.7930680999998,13.816242499975488,13.816242499975488,13.816242499975488,13.816242499975488,13.816242499975488,14.01308780000545,m,1,0.18555119982920587,None,14.0133358000312,14.02577059995383,14.512011300073937,14.65832949988544,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,F.png,0,45,n,45,17,17,0,m,0,0.1566754998639226,None,0,17,17,2,14.65832949988544,,,,,,,,,,,,,,,14.634718500077724,14.65832949988544,14.65832949988544,14.65832949988544,14.65832949988544,14.65832949988544,14.829922599950805,m,0,0.1566754998639226,None,14.832584100076929,14.842794999945909,15.327863999875262,15.490402600029483,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
F.png,FR.png,0,0,m,0,18,18,0,m,1,0.12223310000263155,None,0,18,18,1,15.490402600029483,,,,,,,,,,,,,,,15.456329900072888,15.490402600029483,15.490402600029483,15.490402600029483,15.490402600029483,15.490402600029483,15.628850999986753,m,1,0.12223310000263155,None,15.631388700101525,15.641471599927172,16.127683700062335,16.290763800032437,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,FR.png,0,315,n,315,19,19,0,m,0,0.14725630008615553,None,0,19,19,30,16.290763800032437,,,,,,,,,,,,,,,16.25544079998508,16.290763800032437,16.290763800032437,16.290763800032437,16.290763800032437,16.290763800032437,16.444902200018987,m,0,0.14725630008615553,None,16.447176599875093,16.45745910005644,16.94330450007692,17.106439099879935,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
FR.png,F.png,0,0,m,0,20,20,0,m,1,0.18035060004331172,None,0,20,20,17,17.106439099879935,,,,,,,,,,,,,,,17.07678889995441,17.106439099879935,17.106439099879935,17.106439099879935,17.106439099879935,17.106439099879935,17.294252400053665,m,1,0.18035060004331172,None,17.296974800061435,17.306525399908423,17.794074800098315,17.97256199992262,,,,,,001,,2025-02-15_14h41.56.138,MentalRotation,2024.2.4,60.065940373993136,2025-02-15 14h42.02.944663 +0000,
